skill	*type	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Executioner Aura		612		executioner aura		65																		73731	weaponaura				damagepercent	(stat('dmgtowind'.accr) + stat('dmgtoearth'.accr))*2																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Chrono Aura		613		chrono aura		65																		73731	weaponaura			10	passive_cold_mastery	skill('Fundamentals'.blvl)*3	passive_fire_mastery	skill('Fundamentals'.blvl)*3	passive_ltng_mastery	skill('Fundamentals'.blvl)*3	item_fasterattackrate	skill('Fundamentals'.blvl)*3	item_fastercastrate	skill('Fundamentals'.blvl)*3																																									necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Fracture	Fragment	614		fracture		41		1				3							fracturecontrol	fracturecontrol	fracturecontrol							30																																																																		15						fracturecontrol												1	5		none												SC	SC	xx				1	4	1	1		1								1			1									6	35														1	1					1	8	25	2	1											ln12	Explosion Radius											12	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															cold	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgtofragment'.accr)	50							768	32000	0
Divine Headstriker Aura		615		divine headstriker aura		65																		73731	weaponaura			10	maximumcursedhammers	skill('Shotgun Bolts'.blvl)/7	dmgtomultishot	skill('Master Of Magic'.blvl)*7																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Herald Of Death	bombardment	616		herald of death		41		1				5 + (stat('item_pierce_magic_immunity'.accr)/10)							hodtrigger	hodtrigger	hodtrigger							30																																																																		15						hodtrigger												1	5		none												SC	SC	xx				1	4	1	1		1								1			1									1	35								1						1	1					1	8	25	2	1											ln12	Explosion Radius											12	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															mag	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgbombardment'.accr) + stat('dmgtounholy'.accr)								768	32000	0
Seismic Fissure	Fragment	617		seismic fissure		41		1				2							fissurecontrol	fissurecontrol	fissurecontrol							30																																																																		15						fissurecontrol												1	5		none												SC	SC	xx				1	4	1	1		1								1			1									6	35														1	1					1	8	25	2	1											ln12	Explosion Radius											12	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8		62	31	39	46	54	62	77	35	43	50	58	65	stat('dexterity'.accr) + stat('dmgtofragment'.accr) + stat('dmgtoearth'.accr)	fire	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtoearth'.accr)	50							768	32000	0
Surrounding Swords	fragment	618		surrounding swords		28													surroundmaker	surroundmaker	surroundmaker							ln12																																																			sorceress_thunder_cast															28						surroundmaker												1	5		none												SC	SC	xx				1	4				1								1			1									6	35														1	1					1	8	25	2	1											1	Explosion Radius	8 - (skill('Swordsplosion'.blvl)/35) - (skill('Zantetsuken'.blvl)/35) - (skill('Blade Mastery'.blvl)/35)										1	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8		123	62	77	92	107	123	153	69	85	100	115	130	stat('dexterity'.accr) + stat('dmgtofragment)'.accr) + (skill('Swordsplosion'.blvl)*6) + (skill('Zantetsuken'.blvl)*6) + (skill('Blade Mastery'.blvl)*6)																						768	32000	0
Shock	fragment	619		shock		28													shockmaker	shockmaker	shockmaker							ln12																																																			sorceress_thunder_cast															28						shockmaker												1	5		none												SC	SC	xx				1	4				1								1			1									6	35														1	1					1	8	25	2	1											1	Explosion Radius	11 - (stat('item_lightradius'.accr)/100)										1	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															mag	148	74	92	110	128	148	184	83	102	120	138	156	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtoholy'.accr)								768	32000	0
Diamond Dust	fragment	620		diamond dust		8													diamondmaker	diamondmaker																																																											paladin_aura_cleansing															17						diamondmaker	diamondmaker											1	2		none												SC	SC	xx				1											1		1			1						paladin_holybolt_cast			22	35														1	1					1	8	25	2	1											1 + (skill('Frostflower'.blvl)/35)	# of Missiles created	1	Missile Activation Frame	1	# of missiles that can trigger item modifier events							1				1																				1								8															cold	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgtofragment'.accr) + (skill('Frostflower'.blvl)*6)	50							640	16000	0
Hallowed Bolts	fragment, chained	621		hallowed bolts		28													hbmaker	hbmaker	hbmaker							ln12																																																																		28						hbmaker												1	5		none												SC	SC	xx				1	4				1								1			1									6	35														1	1					1	8	25	2	1																					(skill('Storm Cloak'.blvl)*5) + stat('dmgtochained'.accr)		1	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															ltng	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgtofragment'.accr) + (skill('Storm Strike'.blvl)*5) + clc6								768	32000	0
Righteous FIrestorm	nova	622		righteous firestorm		28													rfstormmaker	rfstormmaker	rfstormmaker							10																																																			sorceress_thunder_cast															28						rfstormmaker												1	5		none												SC	SC	xx				1	4				1								1			1									6	35														1	1					1	8	25	2	1											15		6								(skill('Righteous FIre'.blvl)*8) + stat('dmgtonova'.accr)		1	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															fire	148	74	92	110	128	148	184	83	102	120	138	156	stat('energy'.accr) + clc6								768	32000	0
Herald Of Earth	fragment, earth	623		herald of earth	23	39		1				3 + (stat('dmgtoearth'.accr)/100)							hoemisslenova	hoemisslenova	hoemisslenova							1																																																			Earthclaw1															9						hoemisslenova	hoemisslenova	hoemisslenova										1	5		h2h												A1	A1	xx				1		1	1								1		1			1									6	35														1	1					1	8	16	2	1											1	# of Bolt Missiles created					0	% Damage Dealt as Elemental (Used only if there is an Etype)									1		1																		1								8		68	82	161	187	215	269	174	95	174	201	242	308	stat('dexterity'.accr) + stat('dmgtoearth'.accr)  																						768	32000	0
Searing Hells	multishot, fragment	624		searing hells		73													searmaker																																																												sorceress_cast_cold															35						searmaker												1	7		none												SC	SC	SC																	1			1						sorceress_cast_cold			12	35														1	1					1	8	8	2	1											1		16 - (skill('Volcanic Strike'.blvl)/5)		1								1		0		0		1																		1								8															fire	169	87	107	128	148	169	210	97	118	139	159	179	stat('energy'.accr) + stat('dmgtofragment'.accr) + (stat('passive_fire_pierce'.accr)*3)	50							640	16000	0
Summon Skeleton Archers	summon 	625	nec	summon skeleton archers		119																							damagepercent	(ulvl)*(100 + stat('dmgtosummon'.accr))																				item_fastermovevelocity	ulvl*2	item_fasterattackrate	ulvl*2	item_pierce	1 + (ulvl/2)	damageresist	1 + (ulvl/2)					summonarcher	summonarcher	3 + (lvl/8)	A1													1	necromancer_golem_cast																																	1	0		none												SC	SC	xx				1	4																								10	35														1	1					1	8	10	2	1											ulvl*5	HP % Modifier	ulvl																																		1								8	128													stat('dmgtosummon'.accr)																						512	8000	0
Archmage		626	sor	archmage																																											junglequeen			item_pierce_light_immunity	10 + (blvl*2)	dmgtofragment	10 + (blvl*5)	passive_ltng_pierce	10 + (blvl*2)	damageresist	10 + (blvl*2)																																																							1	0		none														xx																													12	15														0	0					0	8	0	0	1	1							1															1	Min % Chance	30	Max % Chance																					1								8																																				896	64000	0
Charm Weight System		627		charm weight system																																											charmweight			charmweight_mana	(stat('charmweight'.accr)>=41)?(0-100):0																																																												1	0	0		none														xx																													-6															0	0																	1																																							1								8																																					0	0
